from_region,1,2,3,4,5,6,8,10,14,15,20,21,22,23,27,28,33,34
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0
5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8,0,1,0,0,0,0,7,1,1,0,0,0,0,0,1,1,0,0
10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
15,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
20,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
