answers,background,grid_0_0,grid_0_1,grid_0_2,grid_1_1,grid_1_2,grid_1_3,grid_3_0,grid_3_1,grid_3_2,question,Participant,Question
0,0,0,0,1,0,0,0,0,0,0,0,Participant23,12
1,0,1,0,0,1,0,0,0,0,0,2,Participant23,12
0,1,0,0,0,0,0,0,0,0,1,0,Participant23,12
0,1,0,0,0,0,0,0,0,0,0,0,Participant23,12
0,0,0,0,0,0,0,0,0,0,1,0,Participant23,12
0,1,0,0,0,0,0,0,0,1,0,0,Participant23,12
0,0,0,0,0,1,0,1,0,0,0,0,Participant23,12
0,0,0,1,0,0,0,0,0,0,0,0,Participant23,12
0,0,1,0,0,0,0,0,0,0,0,0,Participant23,12
0,0,0,0,0,0,0,0,1,0,0,0,Participant23,12
0,1,0,0,0,0,1,0,0,0,0,0,Participant23,12
0,2,0,0,0,0,0,0,0,0,0,0,Participant23,12
